title,company,location,post_date,num_applicants,full_time,size,description,salary
Data Scientist,Frontiers,Spain,1 week ago,105 applicants,level,"1,001-5,000 employees · Book and Periodical Publishing","About the job
          

 
We are on a mission to make science open so everyone can live healthy lives on a healthy planet

Who We Are

Frontiers is an award-winning open science platform and leading open access scholarly publisher.

We are one of the largest and most cited publishers globally. To date, our 200,000 freely available research articles have received more than 1 billion views and downloads and 2 million citations. Our journals span science, health, humanities and social sciences, engineering, and sustainability. And we continue to expand into new academic disciplines so more researchers can publish open access.

Be part of the publishing revolution and help us transform the way research is published, evaluated, and communicated to the world.

Job Role

We are looking for a Data Scientist to work on production-ready Artificial Intelligence (AI) to support our industry-leading AI publishing platform. You will focus on recommender systems and work with Product Owners, ML Engineers and Data Engineers to develop solutions that will evolve our cutting edge AI Review Assistant (AIRA).

Key Responsibilities
Development, optimization and evaluation of ML models and algorithmsTechnological review of data science solutions and communication to non-technical stakeholdersProactive identification of opportunities for potential AI products within FrontiersEffective collaboration with product managers, ML engineers, software and data engineers design scalable state of the art ML models

Key Requirements
Solid experience of working as a Data ScientistFamiliarity with: Regression techniques, ensemble methods, decision trees, clustering techniquesProficiency in PythonWillingness to share and adopt best work practices on a common codebase (Python packaging, version control, pull requests, testing, continuous integration)Experience with SQL and big data platforms (e.g. Spark, Azure Databricks)Familiarity with problem specification formulation and translation to functional/non-functional requirements for ML model buildingFamiliarity with identifying under/over fitting in ML models and bias/variance trade-offsFamiliarity with algorithm selection giving consideration to accuracy, training time, model complexity, parameters' and features' managementCandidates are encouraged to share portfolio of recommender systems projects.

Benefits

With more than 50 nationalities represented in our global team, you will work regularly with teammates in other countries, and with our community of researchers, editors, and authors from around the globe.

Our mission to create solutions for healthy lives also extends to the working environment we provide for our employees.

This includes:

100% remote working

Employees now have the flexibility to choose where they want to work, with remote working available on a part- or full-time basis.

Learning and development

All employees have access to LinkedIn Learning (and Pluralsight for our technology team), an annual personal learning budget, and dedicated L&D time.

Wellbeing

We offer free online yoga classes, an employee assistance plan, access to the Headspace app, and four wellbeing days on top of your annual leave allowance.

Volunteering opportunities

Employees can dedicate three days each year to volunteer for a personal cause or through our volunteering partner platform, Alaya.

Frontiers actively embraces diversity and is a safe and welcoming workplace. Recruitment is free from discrimination – including based on race, national or ethnic origin, age, religion, disability, sex, gender identity or sexual orientation. With over 600 employees from more than 50 different nations, our diversity creates vibrant teams and constantly challenges us to appreciate multiple perspectives.",
Senior Data Analyst (f/m),Axpo Group,"Madrid, Community of Madrid, Spain",14 hours ago,1 applicant,Associate,"5,001-10,000 employees · Utilities","About the job
          

 
                As our new Senior Data Analyst, you will maintain and evolve Axpo Iberia's Analytics Platform. You will coordinate the maintenance tasks and prioritization of implementations together with the Neuron Governance Committee and work hand in hand with the global Data Governance team, within a federated data governance organization to ensure a successful implementation and shape the Data Governance framework and data strategy for the coming years.

Senior Data Analyst (f/m)

What you will do You are responsible for the analysis of the data model of the different operational systems and their DWH You will evolve the DWH You are going to analyze and revise data dumps interfaces between different systems You design new interfaces for report migration (Quilkview > PBi) You will design dashboards for the management and you are planning dumpsWhat you bring & who you are You successfully completed a university degree in Engineering, Telecommunications or any other related field You bring at least 5 years of experience in a similar position You have a profound knowledge of Excel and tools of analysis and management of raw data You are familiar with reporting tools such as Tableau, Power BI, Business Objects or Data Studio You have an in-depth knowledge of AWS S3 & Snowflake and also of ETL definition languages (DAX, Power Query) You are fluent in EnglishOur benefits:
 Lunch vouchers Health insurance Yearly variable bonus 90% discount on the nearby gym Hybrid working model (60% telework/ 40% office presence) Flexible Schedule 23 days of holidays Language lessons Periodical travels to Switzerland
 
About the team
You will be part of the Data Governance team at Axpo Iberia. The team consists of 3 employees and our Data Governance Lead. Furthermore, our team thinks and works in an interdisciplinary way and is closely networked nationally and internationally. We offer you a dynamic, international, and team-oriented environment in which you can actively contribute your strengths and thus contribute to Axpo's success.

Contact
Maria Huelga Martinez
Talent Acquisition Specialist
maria.huelgamartinez@axpo.com",
Data Architect,Adobe,"Barcelona, Catalonia, Spain",1 week ago,56 applicants,level,"10,001+ employees · Software Development","About the job
          

 
Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

Opportunity

Are you interested in working across major digital transformation projects and supporting Adobe's Digital Performance Strategy Team? Digital is making usual business models obsolete and impacts every stage of the customer lifecycle. Leading companies are turning to the Adobe Marketing Cloud to help them stay ahead. Adobe’s Strategy, Platform and Architecture team is a complementary team of outstanding consultants who partner with clients to define, plan, and implement their digital experience and marketing strategies! We provide our customers with value focused advice and mentorship to articulate a strategic digital marketing vision, facilitate change within our client’s organisation, and deliver outstanding outcomes through the adoption of Adobe solutions. We're looking for a Data Architect join our team. As a hard-working and effective communicator, the Data Architect will work with Enterprise Architect to support the design of digital marketing architectures and supporting the development recommendations that deliver on client business objectives.

Position Summary

Experienced data modelers, SQL, ETL, with some development background to provide defining new data schemas, data ingestion for Adobe Experience Platform customers. Directly contact enterprise customers and collaborate with internal teams.

What You’ll Do

Work with Adobe customers to gather requirements, design solutions & make recommendationsLead customer project conference calls or collaborate with a project coordinatorDeliver Technical Specifications documents for customer reviewDemonstrate understanding of data relationships and schemas to structure data to allow clients to perform complex customer-level analysisConstruct processes to build Customer ID mapping files for use in 360 degree view of customer across data sources.

Requirements

5+ years of solid experience with data transformation & ETL on large data setsExperience with crafting customer centric datasets (i.e. CRM, Call Center, Marketing, Offline, Point of Sale etc.)5+ years of Data Modeling experience (i.e. Relational, Dimensional, Columnar)5+ years of sophisticated SQL or NoSQL experienceExperience in industry ETL tools (i.e. Informatica, Unifi)Experience with Business Requirements definition and management, structured analysis, process design, use case documentationExperience in professional software developmentMust be self-managed, proactive and customer oriented

Special Consideration given for

Experience & knowledge with Adobe Experience Cloud solutionsExperience & knowledge with Digital Analytics or Digital MarketingExperience in programming languages (Python, Java or Bash scripting)Experience with Data technologies (i.e. Hadoop, Spark, Redshift, Snowflake, Hive, Pig etc.)",
Data scientist,HP,"Sant Cugat del Vallès, Catalonia, Spain",1 week ago,30 applicants,level,"10,001+ employees · IT Services and IT Consulting","About the job
          

 
                We all know that a company’s ultimate goal is to increase their revenue, raise sales, and optimize costs. What better way to do this than through data?

In our commercial organisation we want to invest in the power of data and that is why we have created our Pricing and Analytics dream team composed by: data scientist, data analysts, data engineers, project managers, business analysts, digital analysts… and a long list of highly skilled professionals that work together bringing insights from data to help the organisation thrive faster and better.

Do you want to have a direct impact on our company’s growth and revenue? Don’t miss this opportunity to join our diverse and dynamic team and shape HP’s future.

Partnering with the business and understanding their needs, running ad-hoc analyses, predictive models… are just some of the things you will get to do if you join our dynamic, highly skilled, diverse, global and overall amazing team.

What will you do? 
Work with the business to understand the business domain perspectiveDefine and implements models to uncover patterns and predictions creating business value and innovation Assure accuracy, integrity, and compliance of cleansed data Collaborate and communicates with project team regarding project progress and issue resolution Provide guidance, training and mentoring to less experienced staff members. Lead a complex and exciting project with your manager's support
Who will you work with?
Peer data scientists, data engineers, project managers and stakeholders.You will typically interact with high-level Individual Contributors, Managers and Program Teams. 
We Need Someone With
Advanced knowledge of mathematical algorithms, and programming languages (Python and/or R) Strong capacity to conduct exploratory data analysis Understanding of how to manage disparate unstructured and structured data in a distributed environment Ability to frame business problems and apply appropriate predictive modelsStrong analytical and problem-solving skills Excellent written and verbal communication skills; fluent in English and local language 
Education & Experience
Bachelor's, Master's or PHD degree in Mathematics, Economics, Physics, Computer Science, or equivalent. Typically 4-6 years’ experience including graduate or postgraduate research. 
What do we offer? 
An attractive benefit package including: Health & Life insurance HP product discountWork life balance /flexible working hours Opportunity to work in an international organization with colleagues coming from all over the world. Diverse, continued internal growth and career opportunities. Including HP’s own learning platform and LinkedIn Learning. 
And much more...



About HP

You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.

So are we. We love taking on tough challenges, disrupting the status quo, and creating what’s next. We’re in search of talented people who are inspired by big challenges, driven to learn and grow, and dedicated to making a meaningful difference.

HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.

Our history: HP’s commitment to diversity, equity and inclusion – it's just who we are.

From the boardroom to factory floor, we create a culture where everyone is respected and where people can be themselves, while being a part of something bigger than themselves. We celebrate the notion that you can belong at HP and bring your authentic self to work each and every day. When you do that, you’re more innovative and that helps grow our bottom line. Come to HP and thrive!",
Data Solution Architect,Bumble,"Barcelona, Catalonia, Spain",3 days ago,25 applicants,Associate,"501-1,000 employees · Technology, Information and Internet","About the job
          

 
We strongly encourage people of colour, lesbian, gay, bisexual, transgender, queer and non-binary people, veterans, parents, and individuals with disabilities to apply. Bumble is an equal opportunity employer and welcomes everyone to our team. If you need reasonable adjustments at any point in the application or interview process, please let us know. 

In your application, please feel free to note which pronouns you use (For example - she/her/hers, he/him/his, they/them/theirs, etc). 

Data Solution Architect - BI Operations 

We strongly encourage people of colour, lesbian, gay, bisexual, transgender, queer and non-binary people, veterans, parents, and individuals with disabilities to apply. Bumble is an equal opportunity employer and welcomes everyone to our team. If you need reasonable adjustments at any point in the application or interview process, please let us know.

In your application, please feel free to note which pronouns you use (For example - she/her/hers, he/him/his, they/them/theirs, etc).

What does a Data Solutions Architect do within Bumble 🐝?
You will lead all Enterprise Data Architecture across the business (primarily working with the BI team, where most of our data is utilised daily)! 😱You will work in one of the most complex, fast-paced, varied and voluminous data environments in the tech world (10’s billions of data points every day, across multiple source systems, multiple data science and analytics methodologies!) 🙌You get to collaborate with all business areas (engineering, product, data etc) so will get to learn about everything with Bumble and be seen as the subject matter expert for all data issues You’ll collaborate closely with several data teams 👪 including Data Scientists, Machine Learning Engineers and Scientists, Data Engineers, Analysts, People Recommendations (as well as Engineering and Product etc) and all levels of seniority, so will have exposure to all of the business. 
What’s in it for you?
Working within one of the most complex data environments will challenge and excite you in equal measureYour knowledge, opinions and suggestions will be 💛 heard and valued 🙏Due to our data-driven nature, you will be massively responsible for our continued growth, our success and most importantly the positive impact we have on our user base (which is priceless!) 🥳
Sounds great, right?? 👏

Benefits

But, we’d be selling ourselves short if we didn’t mention our amazing benefits package too 😍, which includes

We think so.
A totally inclusive, equitable, comfortable and safe space for all employees 🙏Unlimited Paid Time Off (not including two company-wide week’s off) ⛱Focus Fridays26 weeks full paid parental leave 👶Annual Bonus Equity SchemePrivate Medical Insurance 🏥Private Dental Insurance 👄Subsidised and discounted gym membership 🏋Learning and development budget 🎒Free breakfast and lunch (cooked by our superb onsite catering team), First-Friday takeaway vouchers (choice of Deliveroo, Just Eat or Uber Eats) and an amazing selection of snacks and drinks 🥘🍲Merchandise Allowance 👚Premium App Access 🐝 
What we look for in a Data Solutions Architect

We want to step away from the multitude of similar, monotonous JD’s 😴… we’ll say we are looking for experienced Data Solutions Architect so you’ll need all the typical skills you’d expect (being the central point of expertise for all data architecture issues, structuring our new DWH, structure new tools, documentation etc) but more interestingly we’d love to hear from anyone that can help us solve the following…Optimising Snowflake Implementation ❆We are in the process of transitioning from Exasol to Snowflake, which is an incredibly exciting architecture project. The mapping, pipelines etc from multiple and complex source systems all need optimising further.Building and optimising all internal and external tools 🏗Including projects like building frameworks to reconcile all source systems, migrating to Tableau and implementing new tools.Any data operations, legal or compliance issues ⚖Helping with new tool implications, research into data privacy, GDPR & PCI-DSS and creating PoC’s 
Sounds like something of interest? 🤔

Great! We’d love 💛💛 to hear from you and can’t wait to chat with you!",
Senior Data Scientist - Pricing analytics,HP,"Sant Cugat del Vallès, Catalonia, Spain",3 months ago,17 applicants,level,"10,001+ employees · IT Services and IT Consulting","About the job
          

 
                We all know that a company’s ultimate goal is to increase their revenue, raise sales, and optimize costs. What better way to do this than through data?

In our commercial organisation we want to invest in the power of data and that is why we have created our Pricing and Analytics dream team composed by: data scientist, data analysts, data engineers, project managers, business analysts, digital analysts… and a long list of highly skilled professionals that work together bringing insights from data to help the organisation thrive faster and better.

Do you want to have a direct impact on our company’s growth and revenue? Don’t miss this opportunity to join our global, diverse and dynamic team and shape HP’s future.

In the pricing team you will combine your modelling skills, economic/business thinking, experimentation and optimization methods to build complex pricing algorithms for most popular Printers and PCs in the market.

About You
You have deep interests in customer and market behaviour and methods to measure and anticipate itYou are passionate about unveiling answers to most difficult questions using data and modelsYou feel accomplished seeing your pricing recommendations being implemented while shopping for yourself You can’t stop thinking about learning something new every day and enjoy being surrounded by highly talented people
Key Responsibilities
Develop and apply data science and statistical methods and experimentation to analyse the effect of pricing and sales decisions on business performanceCollaborate with internal stakeholders to design and deploy pricing initiatives based upon analytical findingsPresent results and recommendations to relevant stakeholders, including senior leadership
Must-haves

Requirements:
Proven track record of experience in data scienceTheoretical and applied skills in Machine Learning and Statistics/EconometricAbility to think creatively and invent original solutions to business and modelling challengesProficiency with Python or RAdvanced degree in Economics, Computer Science, Engineering, Mathematics, Physics or related disciplines
Bonus Points For
Interest in pricing, economics, and consumer behaviourExperience in designing, deploying, and analysing in-market experiments and/or AB testsExperience in deploying ML and data science solutions Knowledge of price optimization approaches, price discrimination models and a general knowledge of main concepts from the industrial organization literatureBasic understanding of finance and product economics
What We Offer
Opportunity to work in an international organization with colleagues coming from all over the world.Diverse, continued internal growth and career opportunities. Including HP’s own learning platform and LinkedIn Learning.Health & Life insuranceHP product discountFlex optimization program: Kindergarten tickets, public transportation ticketsPension planWork life balance /flexible working hoursWomen, Pride, Young employees, Multicultural and DisAbility! Just a few of our fantastic global business networks you can get involved with locally.
About HP

You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.

So are we. We love taking on tough challenges, disrupting the status quo, and creating what’s next. We’re in search of talented people who are inspired by big challenges, driven to learn and grow, and dedicated to making a meaningful difference.

HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.

Our history: HP’s commitment to diversity, equity and inclusion – it's just who we are.

From the boardroom to factory floor, we create a culture where everyone is respected and where people can be themselves, while being a part of something bigger than themselves. We celebrate the notion that you can belong at HP and bring your authentic self to work each and every day. When you do that, you’re more innovative and that helps grow our bottom line. Come to HP and thrive!",
Junior Cloud SRE,NTT Ltd.,Spain,1 week ago,112 applicants,level,"10,001+ employees · IT Services and IT Consulting","About the job
          

 
About the job
At NTT we believe that by using innovative technology we can solve global challenges and create a world that is sustainable and secure. We are looking for curious people, from diverse backgrounds, that are keen to work in a fast-paced and agile environment.
At NTT we trust our employees to do the right thing, even when no one is watching, which is why we offer flexibility in the workplace. The majority of our roles are hybrid, meaning we encourage a balance of working from home and our local office. Ask our recruitment team if this is a hybrid role.
Want to be a part of our team?
The candidate should be technology savvy, a team player and should have a solid understanding of Microsoft Technologies and all related products. We offer a highly motivating environment, great working atmosphere and the possibility to build a strong career in a multinational company.
Reporting to the Solutions Engineer Team Leader, the Solutions Engineer is responsible for supporting project development as well as daily customer infrastructure incident resolution, communication and platform management.
Key ResponsibilitiesHelp to automate systems for massive and scalable operations and to design and code the required tools to do so. We manage tens of thousands of services with a reduced but expert team. Sure you can help us to scale even more through automation! Learn in deep by solving real problems and operating DNS, cloud environments, web servers, relational and NoSQL database servers in Linux and Windows environments, both physical and cloud based.Learn to design & operate systems architectures for business-critical systems platforms on AWS, Google Cloud Platform and Microsoft Azure. Work with bleeding-edge Cloud technologies, mastering container technology (Docker, Kubernetes) and Infrastructure as Code. Manage critical systems for our customers. Build complex systems for mission-critical projects, from architecture design to migration planning and continuous operation and improvement. Analyze and improve systems’ performance & scalability and automate systems management. Interact with customers, understanding their needs, and find and design the best technological solution.Respond to incidents, diagnose their root cause, and fix the underlying problems, designing improvements to avoid the problems to be repeated. Personal SkillsAble to work with remote colleagues and customers.Excellent English level (all the communications will be in English).Excellent customer service skills/ Customer-oriented attitude.Passion for lifelong technical learning and personal and professional development.Ability to work well in an International team environment.Strong problem-solving skills.High interest to be a generalist engineer focused on Infrastructure. Technical SkillsKnowing how to properly express yourself both in Spanish and English (spoken and written).Ability to work as a team.Be willing to learn a lot and quickly.Knowledge in programming. Python, Go, Perl, Shell Script and/or PowerShell are a plus.Some experience or good knowledge in sysadmin of Linux and/or Windows. Knowledge of the internals of these operating systems is a plus.Knowledge about AWS, Google Cloud Platform and Microsoft Azure components, services & architectures is a plus.Some knowledge or experience with systems automation tools and systems & services monitoring tools.Basic knowledge of Information Security & IT Service Management is also a plus. As a part of your total compensation, NTT Managed Services provides a comprehensive, competitive beneﬁt package:Bonus for performance Annual salary review.Private medical insurance.Pension plan.Learning programs which include paid certifications and courses.Flexible working hours and the choice to work fully remote.Flexible compensation (transport, lunch, nursery).Discounts on gym and benefits club.Global and challenging environment, with growing opportunities.Encouraging diversity and inclusion.",
Digital Data Analyst,Wallbox Chargers,"Barcelona, Catalonia, Spain",1 week ago,150 applicants,level,"501-1,000 employees · Appliances, Electrical, and Electronics Manufacturing","About the job
          

 
Description

Wallbox is a global company, dedicated to changing the way the world uses energy. We do this by creating smart charging systems that combine innovative technology with outstanding design and manage the communication between vehicle, grid, building, and charger.

Founded in 2015, with headquarters in Barcelona and selling already in over 80+ countries, our mission is to facilitate the adoption of electric vehicles today to make more sustainable use of energy tomorrow. Our talent has no borders - we welcome over 900 Wallboxers from over 45 nationalities in Europe, Asia, and the Americas!

We’re now the first Spanish unicorn listed on the NYSE (WBX) and have been recently named amongst LinkedIn’s top 3 Spanish startups.

In day-to-day life, you will see our core values shining through our Wallboxers. The passion and dedication towards our mission will hit you the moment you walk through our doors - and there’s no feeling like it.

Our journey is not plain sailing - it requires proactive, flexible and top performing individuals who are committed to the world of sustainable mobility. But one thing is for sure - it's going to be a fun ride!

The question is: are you ready to change the world with us?

The Role

We are looking for a Digital Data Analyst; your primary responsibility will be for Data analysis, from working with 3rd party data to 1st party data by using multiple tools such as Adwords, Search console for but mainly Google Analytics.

The position will be very data and relationship focused. Working in the ecommerce team with our digital agencies, UX team and marketing team.

A strong understanding of Data is essential. Specific tasks will include; working with different analytic tools, stakeholder relations, embedding change. In addition you will also create dashboards for better understanding and data visualization.

You will
Work with a multicultural digital team.Work with all the global markets.Work in a growing industry.Help to create and constantly improve the e-commerce business.Help define the strategy of the ecommerce businessAnalyze and present data of the different behavior of differents users and marketsDevelop and evaluate A/B test experiments or other analyses to measure and report the performance of implementations or changes made to the ecommerce platform.Engage with internal stakeholders to gain an understanding of the blockers that need to be solved and gather requirements for analytical tasksExtract, load and reconcile large data sets from multiple system platforms and sources.Utilize SQL or other advanced analytic tools to perform data extract and query functions.Build post-measure dashboards that will serve as a feature monitoring tool for diverse stakeholders

Requirements
High level of English.Minimum 3 years of Experience as a proven Digital Data Analyst, Marketing Insight Analyst, Insight Analyst, or Campaign AnalystDegree in Marketing, Business, Finance, Statistics or Economics.Being a Google Analytics expert is absolutely essential.SQL experience is a must.Data visualization tools like Tableau is part of the scope of work.Previous experience in a e-commerce team.Experience with Data and analysis in order to bring a data-driven approach to decision-making tactics.Excel advanced skills are essential (able to work with complex Excel formulas).High attention to detail and appreciation for understanding processes.Experience with Amazon platform would be a massive helpKnowledge in any of the following areas: Attribution Modeling, Programmatic (DMP, DSP, SSP), Cross-Device Measurement.

Benefits
Half-day Fridays! First class private health insurance after your first month at Wallbox Use one of our EVs for a weekend and/or a week (car sharing) and test our products in your home (beta testing) to become a valuable source of feedbackFree online language classes (Spanish & English) twice a weekFlexible compensation valid for restaurants & food delivery apps, transportation, childcare, and learning & development. Hundreds of discounts in different brands & services with our Wallbox Circle benefits platformCar discounts & special advantages if you choose an EV!Smartpoint for all your online orders & services at our officesFree coffee & soft drinks to fuel those tough Monday morningsVariety of breakfast and lunch dishes, everyday, at a discounted price at our canteenLearn and grow in a company of over 45 nationalities and counting! No suits! Unless it's Carnival or Halloween 

Please submit your CV in English
At Wallbox, we’re committed to equal employment opportunity regardless of race, colour, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We strive to be a more equal opportunity workplace.",
Senior Technical Consultant (Remote),Veeva Systems,"Barcelona, Catalonia, Spain",16 hours ago,,Full-time,"1,001-5,000 employees · Software Development","About the job
          

 
                Veeva is a mission-driven organization that aspires to help our customers in Life Sciences and Regulated industries bring their products to market, faster. We are shaped by our values: Do the Right Thing, Customer Success, Employee Success, and Speed. Our teams develop transformative cloud software, services, consulting, and data to make our customers more efficient and effective in everything they do. Veeva is a work anywhere company. You can work at home, at a customer site, or in an office on any given day. As a Public Benefit Corporation , you will also work for a company focused on making a positive impact on its customers, employees, and communities.
The Role
As a Senior Technical Consultant, you will be a leading member of the Professional Services group. You’ll provide consulting and technical architecture design on project teams implementing Veeva Vault R&D applications and Vault Platform cloud solutions to companies in the life sciences industry.
The Senior Technical Consultant is a customer advocate working closely with other Veeva teams (Services, Product, Sales, Strategy) to ensure customer success today and in the future.
The role is remote, based in the EU and will require travel within the region.
What You'll Do
Provide subject matter expertise on Veeva Systems implementation, the Vault R&D product suite and the Vault Platform. Lead technical design, and Software as a Service (SaaS) implementation best practices.Design and implement cloud-based integrationsDesign and provide subject matter expertise for the development of custom applicationsImplement Java-based solutions using the Vault Java SDKManage integration, migration and development projects and resourcesContribute to our professional services knowledge baseDevelop internal and external tools to help our customers and our consultantsPartner with other parts of the organization to deliver technical presentations to current and prospective customers and help them understand the benefits of Vault and best practice to use itMostly remote working with customer visits as required
Requirements
Ability to communicate complex technical information and concepts to both technical and business audiencesExtensive experience of integration architecture, design and development for enterprise/cloud software or document/content management systems (Documentum, OpenText, SharePoint, etc.)Customer-facing technical consulting experienceDeep experience of real world Java programmingExperience building solutions and interfaces in cloud, SaaS applications using REST APIsProven track record meeting with senior management and executives as the subject matter expertExperience leading and mentoring other team membersExcellent presentation skillsExperience with the SDLC process and Agile methodology
Nice to Have
Experience in the pharmaceutical and life sciences industryExperience with Clinical, Regulatory, Quality, or Safety business processesProject Management experience for enterprise software implementationsExperience with GxP regulations and software validation processDocument/Data migration experienceExperience with source code control systemsExpertise in Amazon Web Services (AWS) tools such as Lambda and EC2Fluency in more than one European languagePerks & Benefits
Allocations for continuous learning & developmentHealth & wellness programs
Veeva’s headquarters is located in the San Francisco Bay Area with offices in more than 15 countries around the world. Veeva is committed to fostering a culture of inclusion and growing a diverse workforce. Diversity makes us stronger. It comes in many forms. Gender, race, ethnicity, religion, politics, sexual orientation, age, disability and life experience shape us all into unique individuals. We value people for the individuals they are and the contributions they can bring to our teams.",
CTO,CymitQuimica,Greater Barcelona Metropolitan Area,5 days ago,37 applicants,level,11-50 employees · Chemical Manufacturing,"About the job
          

 
Cymit Quimica (perteneciente a Grupo Palex), es una empresa de base tecnológica que ha desarrollado el ecommerce líder en distribución de productos de química fina y bioquímica para profesionales de laboratorio, con ubicación en Barcelona o alrededores.
Buscamos incorporar a un/a CTO (con residencia en Barcelona o alrededores), para liderar el área tecnológica y mejorar nuestro producto y servicio, y crecer a nivel internacional. Esta es una excelente oportunidad para un Senior Backend Developer que quiera desarrollarse como CTO.
El trabajo consiste principalmente en:· Definir y ejecutar las decisiones del área tecnológica: arquitectura de sistemas, tecnología, desarrollo, bases de datos, infraestructura, seguridad, VoIP, etc.· Gestión y planificación del equipo de IT (5 personas)· Colaborar en la definición de la visión del producto (ecommerce) y definir las características del producto y su implementación en el tiempo· Gestionar la transición para pasar a Odoo 15 (Phyton 3) y cambiar el framework de la web

Nos encantaría incorporar a nuestro equipo una persona con las siguientes habilidades y conocimientos:· Espíritu emprendedor, actitud proactiva y motivada para aprender· Pragmático, empático, con atención al detalle y con capacidad para trabajar en equipo· Buen dominio del castellano o catalán y del inglés· Idealmente, con conocimientos químicos o experiencia en la industria farmacéutica o química

Requisitos mínimos:· Python 3· Bases de datos relacionales (PosgreSQL/MySQL/MariaDB)· Metodología Agile (Jira)

Requisitios deseables:· Odoo (open code) o conocimientos de ERP· Maipulación de XML· Experiencia en desarrollo de web utilizando JavaScript frameworks (Node.js, Vue, React, Svelte, etc.) y Phyton frameworks (Django)· Cloud y sever management (Ubuntu)

Nuestra propuesta:· Formar parte de una empresa de base tecnológica, estable financieramente, líder en su sector, con un proyecto de crecimiento ambicioso que incluye la internacionalización.· Formar parte del equipo de dirección de la empresa.· Buen ambiente de trabajo, horario flexible, posibilidad de trabajo remoto, formación continua y otros beneficios sociales.

Cymit Química está ubicada en Poblenou - Barcelona, es una zona bien comunicada y con todos los servicios.",
